rank,region,rate
39,Alabama,0
39,Alaska,0
22,Arizona,11
39,Arkansas,0
8,California,93
10,Colorado,53
5,Connecticut,153
28,Delaware,4
10,Florida,53
16,Georgia,33
34,Hawaii,1
39,Idaho,0
15,Illinois,38
26,Indiana,6
39,Iowa,0
39,Kansas,0
23,Kentucky,9
31,Louisiana,2
34,Maine,1
2,Maryland,331
6,Massachusetts,148
12,Michigan,52
19,Minnesota,16
39,Mississippi,0
20,Missouri,13
34,Montana,1
34,Nebraska,1
29,Nevada,3
18,New Hampshire,17
3,New Jersey,328
39,New Mexico,0
1,New York,765
13,North Carolina,49
29,North Dakota,3
9,Ohio,69
39,Oklahoma,0
31,Oregon,2
4,Pennsylvania,285
25,Rhode Island,8
34,South Carolina,1
39,South Dakota,0
17,Tennessee,18
14,Texas,40
39,Utah,0
23,Vermont,9
7,Virginia,113
20,Washington,13
39,West Virginia,0
31,Wisconsin,2
39,Wyoming,0
26,District of Columbia,6
